year,base_year,value,index_type,series_type,series_deflated,data_version
1968,1968,11.53,inflation,indexed,real,"April 11, 2023"
1969,1968,11.53,inflation,indexed,real,"April 11, 2023"
1970,1968,11.53,inflation,indexed,real,"April 11, 2023"
1971,1968,11.53,inflation,indexed,real,"April 11, 2023"
1972,1968,11.53,inflation,indexed,real,"April 11, 2023"
1973,1968,11.53,inflation,indexed,real,"April 11, 2023"
1974,1968,11.53,inflation,indexed,real,"April 11, 2023"
1975,1968,11.53,inflation,indexed,real,"April 11, 2023"
1976,1968,11.53,inflation,indexed,real,"April 11, 2023"
1977,1968,11.53,inflation,indexed,real,"April 11, 2023"
1978,1968,11.53,inflation,indexed,real,"April 11, 2023"
1979,1968,11.53,inflation,indexed,real,"April 11, 2023"
1980,1968,11.53,inflation,indexed,real,"April 11, 2023"
1981,1968,11.53,inflation,indexed,real,"April 11, 2023"
1982,1968,11.53,inflation,indexed,real,"April 11, 2023"
1983,1968,11.53,inflation,indexed,real,"April 11, 2023"
1984,1968,11.53,inflation,indexed,real,"April 11, 2023"
1985,1968,11.53,inflation,indexed,real,"April 11, 2023"
1986,1968,11.53,inflation,indexed,real,"April 11, 2023"
1987,1968,11.53,inflation,indexed,real,"April 11, 2023"
1988,1968,11.53,inflation,indexed,real,"April 11, 2023"
1989,1968,11.53,inflation,indexed,real,"April 11, 2023"
1990,1968,11.53,inflation,indexed,real,"April 11, 2023"
1991,1968,11.53,inflation,indexed,real,"April 11, 2023"
1992,1968,11.53,inflation,indexed,real,"April 11, 2023"
1993,1968,11.53,inflation,indexed,real,"April 11, 2023"
1994,1968,11.53,inflation,indexed,real,"April 11, 2023"
1995,1968,11.53,inflation,indexed,real,"April 11, 2023"
1996,1968,11.53,inflation,indexed,real,"April 11, 2023"
1997,1968,11.53,inflation,indexed,real,"April 11, 2023"
1998,1968,11.53,inflation,indexed,real,"April 11, 2023"
1999,1968,11.53,inflation,indexed,real,"April 11, 2023"
2000,1968,11.53,inflation,indexed,real,"April 11, 2023"
2001,1968,11.53,inflation,indexed,real,"April 11, 2023"
2002,1968,11.53,inflation,indexed,real,"April 11, 2023"
2003,1968,11.53,inflation,indexed,real,"April 11, 2023"
2004,1968,11.53,inflation,indexed,real,"April 11, 2023"
2005,1968,11.53,inflation,indexed,real,"April 11, 2023"
2006,1968,11.53,inflation,indexed,real,"April 11, 2023"
2007,1968,11.53,inflation,indexed,real,"April 11, 2023"
2008,1968,11.53,inflation,indexed,real,"April 11, 2023"
2009,1968,11.53,inflation,indexed,real,"April 11, 2023"
2010,1968,11.53,inflation,indexed,real,"April 11, 2023"
2011,1968,11.53,inflation,indexed,real,"April 11, 2023"
2012,1968,11.53,inflation,indexed,real,"April 11, 2023"
2013,1968,11.53,inflation,indexed,real,"April 11, 2023"
2014,1968,11.53,inflation,indexed,real,"April 11, 2023"
2015,1968,11.53,inflation,indexed,real,"April 11, 2023"
2016,1968,11.53,inflation,indexed,real,"April 11, 2023"
2017,1968,11.53,inflation,indexed,real,"April 11, 2023"
2018,1968,11.53,inflation,indexed,real,"April 11, 2023"
2019,1968,11.53,inflation,indexed,real,"April 11, 2023"
2020,1968,11.53,inflation,indexed,real,"April 11, 2023"
2021,1968,11.53,inflation,indexed,real,"April 11, 2023"
2022,1968,11.53,inflation,indexed,real,"April 11, 2023"
2023,1968,11.53,inflation,indexed,real,"April 11, 2023"
2009,2009,9.96,inflation,indexed,real,"April 11, 2023"
2010,2009,9.96,inflation,indexed,real,"April 11, 2023"
2011,2009,9.96,inflation,indexed,real,"April 11, 2023"
2012,2009,9.96,inflation,indexed,real,"April 11, 2023"
2013,2009,9.96,inflation,indexed,real,"April 11, 2023"
2014,2009,9.96,inflation,indexed,real,"April 11, 2023"
2015,2009,9.96,inflation,indexed,real,"April 11, 2023"
2016,2009,9.96,inflation,indexed,real,"April 11, 2023"
2017,2009,9.96,inflation,indexed,real,"April 11, 2023"
2018,2009,9.96,inflation,indexed,real,"April 11, 2023"
2019,2009,9.96,inflation,indexed,real,"April 11, 2023"
2020,2009,9.96,inflation,indexed,real,"April 11, 2023"
2021,2009,9.96,inflation,indexed,real,"April 11, 2023"
2022,2009,9.96,inflation,indexed,real,"April 11, 2023"
2023,2009,9.96,inflation,indexed,real,"April 11, 2023"
1968,1968,11.53,median_wage,indexed,real,"April 11, 2023"
1969,1968,11.68,median_wage,indexed,real,"April 11, 2023"
1970,1968,11.76,median_wage,indexed,real,"April 11, 2023"
1971,1968,11.88,median_wage,indexed,real,"April 11, 2023"
1972,1968,12.18,median_wage,indexed,real,"April 11, 2023"
1973,1968,12.08,median_wage,indexed,real,"April 11, 2023"
1974,1968,11.82,median_wage,indexed,real,"April 11, 2023"
1975,1968,12.05,median_wage,indexed,real,"April 11, 2023"
1976,1968,12.1,median_wage,indexed,real,"April 11, 2023"
1977,1968,12.19,median_wage,indexed,real,"April 11, 2023"
1978,1968,12.02,median_wage,indexed,real,"April 11, 2023"
1979,1968,11.89,median_wage,indexed,real,"April 11, 2023"
1980,1968,11.73,median_wage,indexed,real,"April 11, 2023"
1981,1968,11.58,median_wage,indexed,real,"April 11, 2023"
1982,1968,11.78,median_wage,indexed,real,"April 11, 2023"
1983,1968,11.93,median_wage,indexed,real,"April 11, 2023"
1984,1968,11.57,median_wage,indexed,real,"April 11, 2023"
1985,1968,11.83,median_wage,indexed,real,"April 11, 2023"
1986,1968,12.28,median_wage,indexed,real,"April 11, 2023"
1987,1968,12.26,median_wage,indexed,real,"April 11, 2023"
